% Moku:Pro Data Logger
% Input 1, DC coupling, 1 MOhm impedance, 4 Vpp range
% Input 2, DC coupling, 1 MOhm impedance, 4 Vpp range
% Input 3, DC coupling, 1 MOhm impedance, 4 Vpp range
% Input 4, DC coupling, 1 MOhm impedance, 40 Vpp range
% Acquisition rate: 5.0000000000e+01 Hz, Precision mode
% Output 1 (off) - Sine, 1.000 000 Hz, 6.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, output termination 50 Ohm
% Output 2 (on) - Ramp, 10.000 000 Hz, 8.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Output 3 (on) - Square, 10.000 000 Hz, 2.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %, output termination 50 Ohm
% Output 4 (off) - Sine, 1.000 000 Hz, 6.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2024-07-24 T 17:16:52 +0200
% Ch1,2,3=LVDT1,2,3. Ch4=Vin. Only LVDT1 is a actuator. ramp wave with 50% duty cycle, 6Vpp,T=1Hz
% Time (s), Input 1 (V), Input 2 (V), Input 3 (V), Input 4 (V)
Time,LVDT1,LVDT2,LVDT3,Vin
7.8000000000e-01, 9.1584252675e-01, 1.5003370907e-03, 1.0061696229e+00, -6.8370148219e-03
8.0000000000e-01, 9.1543577834e-01, 2.0047919639e-03, 9.6831524234e-01, -6.8370148219e-03
8.2000000000e-01, 9.1499067110e-01, 3.0368617620e-03, 1.0063541795e+00, -6.7931878039e-03
8.4000000000e-01, 9.1437982474e-01, 3.2981360937e-03, 9.8031504405e-01, -6.8077968099e-03
8.6000000000e-01, 9.1388622614e-01, 3.4942727805e-03, 9.9676302318e-01, -6.8516238280e-03
8.8000000000e-01, 9.1305246429e-01, 4.2057206146e-03, 1.0060646789e+00, -6.8370148219e-03
9.0000000000e-01, 9.1246839673e-01, 4.6920816976e-03, 9.7156199206e-01, -6.8370148219e-03
9.2000000000e-01, 9.1164187239e-01, 5.0416537259e-03, 1.0052265745e+00, -6.8224058159e-03
9.4000000000e-01, 9.1120906893e-01, 6.1157011174e-03, 9.8985843280e-01, -6.8151013129e-03
9.6000000000e-01, 9.1063947641e-01, 6.0114808854e-03, 1.0006727294e+00, -6.8370148219e-03
9.8000000000e-01, 9.1022042423e-01, 6.4529693684e-03, 1.0051853207e+00, -6.8224058159e-03
1.0000000000e+00, 9.0995770239e-01, 6.8083314097e-03, 9.7842532860e-01, -6.8297103189e-03
1.0200000000e+00, 9.0986144343e-01, 7.4300340440e-03, 1.0055783178e+00, -6.7785787978e-03
1.0400000000e+00, 9.0983176961e-01, 7.6623583113e-03, 9.7475011791e-01, -6.8224058159e-03
1.0600000000e+00, 9.0985999593e-01, 8.1313493556e-03, 9.9511793576e-01, -6.8151013129e-03
1.0800000000e+00, 9.0979051577e-01, 8.4201262486e-03, 1.0067218454e+00, -6.8151013129e-03
1.1000000000e+00, 9.1000619375e-01, 8.6039591579e-03, 9.6299132548e-01, -6.7712742948e-03
1.1200000000e+00, 9.1021391046e-01, 8.6343567256e-03, 1.0067703367e+00, -6.7639697918e-03
1.1400000000e+00, 9.1022693799e-01, 8.7516044866e-03, 9.9194645620e-01, -6.7639697918e-03
1.1600000000e+00, 9.1025588806e-01, 8.6379754836e-03, 1.0023648607e+00, -6.7712742948e-03
1.1800000000e+00, 9.1031595944e-01, 8.4418387969e-03, 1.0070402961e+00, -6.7858833008e-03
1.2000000000e+00, 9.1039557212e-01, 8.2435308553e-03, 9.9272304168e-01, -6.7858833008e-03
1.2200000000e+00, 9.1064526643e-01, 8.2847846972e-03, 1.0072132727e+00, -6.7712742948e-03
1.2400000000e+00, 9.1078712174e-01, 8.1038467943e-03, 9.7578435897e-01, -6.7931878039e-03
1.2600000000e+00, 9.1125683654e-01, 8.1125318137e-03, 9.9645542874e-01, -6.8004923069e-03
1.2800000000e+00, 9.1183511407e-01, 7.5451105502e-03, 1.0075983086e+00, -6.8297103189e-03
1.3000000000e+00, 9.1235042522e-01, 7.1296771252e-03, 9.5759792847e-01, -6.7639697918e-03
1.3200000000e+00, 9.1294462529e-01, 7.5190554922e-03, 1.0080397970e+00, -6.7639697918e-03
1.3400000000e+00, 9.1353158785e-01, 6.7569450453e-03, 9.9021451860e-01, -6.7858833008e-03
1.3600000000e+00, 9.1402084394e-01, 6.0628672498e-03, 1.0024676334e+00, -6.8004923069e-03
1.3800000000e+00, 9.1472794927e-01, 5.6286162829e-03, 1.0090639056e+00, -6.8004923069e-03
1.4000000000e+00, 9.1535109940e-01, 5.0872500775e-03, 9.8873372280e-01, -6.7785787978e-03
1.4200000000e+00, 9.1572527899e-01, 4.3345484015e-03, 1.0089466578e+00, -6.7493607858e-03
1.4400000000e+00, 9.1645916312e-01, 4.1666380276e-03, 9.8237194613e-01, -6.7931878039e-03
1.4600000000e+00, 9.1699618682e-01, 3.1830595875e-03, 1.0001024131e+00, -6.7785787978e-03
1.4800000000e+00, 9.1715179341e-01, 2.4665454921e-03, 1.0086260358e+00, -6.7201427737e-03
1.5000000000e+00, 9.1754479054e-01, 2.0851283928e-03, 9.6882186846e-01, -6.7201427737e-03
1.5200000000e+00, 9.1793561641e-01, 1.6248223679e-03, 1.0083068614e+00, -6.7128382707e-03
1.5400000000e+00, 9.1821353703e-01, 1.1370137817e-03, 9.8494271186e-01, -6.8004923069e-03
1.5600000000e+00, 9.1874332321e-01, 9.8647344652e-04, 1.0002305171e+00, -6.7931878039e-03
1.5800000000e+00, 9.1920145798e-01, 2.2798175763e-04, 1.0088344763e+00, -6.8004923069e-03
1.6000000000e+00, 9.1987599448e-01, 8.6850193384e-06, 9.7385917968e-01, -6.8077968099e-03
1.6200000000e+00, 9.2027912413e-01, -5.3919495059e-04, 1.0087505211e+00, -6.8077968099e-03
1.6400000000e+00, 9.2048828834e-01, -9.2857331759e-04, 9.9412929106e-01, -6.8224058159e-03
1.6600000000e+00, 9.2075318143e-01, -9.4739085949e-04, 1.0044731491e+00, -6.8370148219e-03
1.6800000000e+00, 9.2102893080e-01, -1.5538947100e-03, 1.0085869533e+00, -6.8370148219e-03
1.7000000000e+00, 9.2098984821e-01, -1.6566674388e-03, 9.9209989154e-01, -6.8297103189e-03
1.7200000000e+00, 9.2092036805e-01, -1.9345880576e-03, 1.0082294200e+00, -6.8077968099e-03
1.7400000000e+00, 9.2082193783e-01, -2.6221520886e-03, 9.7705816180e-01, -6.8077968099e-03
1.7600000000e+00, 9.2040650441e-01, -2.4708880018e-03, 9.9629909839e-01, -6.8370148219e-03
1.7800000000e+00, 9.2027188661e-01, -2.2573812764e-03, 1.0069700922e+00, -6.8370148219e-03
1.8000000000e+00, 9.1990566829e-01, -1.9845269188e-03, 9.6047339362e-01, -6.8151013129e-03
1.8200000000e+00, 9.1945404729e-01, -1.9563006060e-03, 1.0059597349e+00, -6.8077968099e-03
1.8400000000e+00, 9.1922461803e-01, -1.6762087323e-03, 9.8606959312e-01, -6.8589283310e-03
1.8600000000e+00, 9.1886563723e-01, -1.6356786421e-03, 9.9888144414e-01, -6.8151013129e-03
1.8800000000e+00, 9.1865357801e-01, -1.2788690976e-03, 1.0059959225e+00, -6.8370148219e-03
1.9000000000e+00, 9.1856238530e-01, -7.5849168888e-04, 9.7736068998e-01, -6.8370148219e-03
1.9200000000e+00, 9.1830038722e-01, -4.0891966052e-04, 1.0059474311e+00, -6.8297103189e-03
1.9400000000e+00, 9.1793489266e-01, -5.1965365708e-04, 9.8650746284e-01, -6.8077968099e-03
1.9600000000e+00, 9.1763743074e-01, 3.9516837990e-04, 9.9995187278e-01, -6.8224058159e-03
1.9800000000e+00, 9.1700197683e-01, 2.2653425441e-04, 1.0052786846e+00, -6.8077968099e-03
2.0000000000e+00, 9.1635349539e-01, 6.2966390203e-04, 9.7320780323e-01, -6.7858833008e-03
2.0200000000e+00, 9.1585844928e-01, 1.2636703137e-03, 1.0046584295e+00, -6.7566652888e-03
2.0400000000e+00, 9.1524108916e-01, 1.2672890718e-03, 9.7328669215e-01, -6.7785787978e-03
2.0600000000e+00, 9.1449490125e-01, 2.2465250022e-03, 9.9305813868e-01, -6.7858833008e-03
2.0800000000e+00, 9.1399985514e-01, 2.4745067598e-03, 1.0040859420e+00, -6.8077968099e-03
2.1000000000e+00, 9.1335064995e-01, 3.1562807779e-03, 9.6168929633e-01, -6.8077968099e-03
2.1200000000e+00, 9.1286935513e-01, 3.8235797637e-03, 1.0039636280e+00, -6.7931878039e-03
2.1400000000e+00, 9.1256031319e-01, 4.4944975076e-03, 9.8957834093e-01, -6.8443193250e-03
2.1600000000e+00, 9.1213691850e-01, 4.6457615944e-03, 9.9982883500e-01, -6.8516238280e-03
2.1800000000e+00, 9.1188722419e-01, 5.0546812549e-03, 1.0046649433e+00, -6.8370148219e-03
2.2000000000e+00, 9.1165417617e-01, 5.7791566181e-03, 9.9056047187e-01, -6.8077968099e-03
2.2200000000e+00, 9.1160640857e-01, 5.6423675635e-03, 1.0052909884e+00, -6.7858833008e-03
2.2400000000e+00, 9.1127710158e-01, 5.9955583499e-03, 9.7432093321e-01, -6.8077968099e-03
2.2600000000e+00, 9.1104332981e-01, 6.6469348003e-03, 9.9466486726e-01, -6.7785787978e-03
2.2800000000e+00, 9.1068290151e-01, 6.9487392223e-03, 1.0054154737e+00, -6.7712742948e-03
2.3000000000e+00, 9.1041945592e-01, 7.1115833349e-03, 9.5599192365e-01, -6.8151013129e-03
2.3200000000e+00, 9.1022476674e-01, 7.6073531888e-03, 1.0053003972e+00, -6.7931878039e-03
2.3400000000e+00, 9.0994684612e-01, 8.0256816203e-03, 9.8670866579e-01, -6.7931878039e-03
2.3600000000e+00, 9.0979485828e-01, 7.7788823207e-03, 9.9942932411e-01, -6.8004923069e-03
2.3800000000e+00, 9.0978906827e-01, 7.7202584402e-03, 1.0061573191e+00, -6.8004923069e-03
2.4000000000e+00, 9.1011113774e-01, 8.1219405846e-03, 9.8353429122e-01, -6.7931878039e-03
2.4200000000e+00, 9.1027398185e-01, 8.1950394974e-03, 1.0071568201e+00, -6.8004923069e-03
2.4400000000e+00, 9.1070461406e-01, 8.0929905201e-03, 9.8040768426e-01, -6.8151013129e-03
2.4600000000e+00, 9.1109616368e-01, 7.8157936529e-03, 9.9892269799e-01, -6.8077968099e-03
2.4800000000e+00, 9.1146021074e-01, 7.7694735498e-03, 1.0082735688e+00, -6.8077968099e-03
2.5000000000e+00, 9.1181557278e-01, 7.6797283500e-03, 9.7290889381e-01, -6.8224058159e-03
2.5200000000e+00, 9.1225706126e-01, 7.2100135541e-03, 1.0086853835e+00, -6.7931878039e-03
2.5400000000e+00, 9.1269854975e-01, 7.4589841084e-03, 9.7852158756e-01, -6.7639697918e-03
2.5600000000e+00, 9.1307851934e-01, 6.7475362743e-03, 9.9819460387e-01, -6.7858833008e-03
2.5800000000e+00, 9.1329274982e-01, 6.3038765364e-03, 1.0091587170e+00, -6.7931878039e-03
2.6000000000e+00, 9.1357356545e-01, 6.1649162270e-03, 9.6828412102e-01, -6.7712742948e-03
2.6200000000e+00, 9.1397814260e-01, 5.7060577053e-03, 1.0089864641e+00, -6.7566652888e-03
2.6400000000e+00, 9.1432192461e-01, 5.8949568759e-03, 9.9443543800e-01, -6.8077968099e-03
2.6600000000e+00, 9.1482058947e-01, 4.8368320199e-03, 1.0049233226e+00, -6.8224058159e-03
2.6800000000e+00, 9.1527655299e-01, 4.6841204298e-03, 1.0097065970e+00, -6.8077968099e-03
2.7000000000e+00, 9.1602853091e-01, 4.1840080663e-03, 9.9612322675e-01, -6.8224058159e-03
2.7200000000e+00, 9.1686591153e-01, 3.6455368673e-03, 1.0103268521e+00, -6.8004923069e-03
2.7400000000e+00, 9.1720969354e-01, 2.8552001075e-03, 9.8048005942e-01, -6.8151013129e-03
2.7600000000e+00, 9.1774237473e-01, 2.7900624625e-03, 9.9997286158e-01, -6.8224058159e-03
2.7800000000e+00, 9.1833802230e-01, 2.4361479244e-03, 1.0103167196e+00, -6.8151013129e-03
2.8000000000e+00, 9.1891485234e-01, 1.9396543189e-03, 9.6329240615e-01, -6.8004923069e-03
2.8200000000e+00, 9.1926080561e-01, 1.6313361324e-03, 1.0096957407e+00, -6.8151013129e-03
2.8400000000e+00, 9.1938456713e-01, 1.2600515557e-03, 9.8936917671e-01, -6.8151013129e-03
2.8600000000e+00, 9.1958359883e-01, 9.4087709499e-04, 1.0022852480e+00, -6.8151013129e-03
2.8800000000e+00, 9.1972183539e-01, 3.1266069618e-04, 1.0090754856e+00, -6.8151013129e-03
2.9000000000e+00, 9.1989553577e-01, 1.1869526429e-04, 9.8090852038e-01, -6.8151013129e-03
2.9200000000e+00, 9.2006127489e-01, -2.6199808337e-04, 1.0085355669e+00, -6.8077968099e-03
2.9400000000e+00, 9.2008588245e-01, -1.0349648045e-04, 9.8901236717e-01, -6.8077968099e-03
2.9600000000e+00, 9.2013437380e-01, -5.3774744737e-04, 1.0020362774e+00, -6.8297103189e-03
2.9800000000e+00, 9.2034860428e-01, -1.0450973271e-03, 1.0076706837e+00, -6.8443193250e-03
3.0000000000e+00, 9.2051361965e-01, -1.1247100043e-03, 9.7553032215e-01, -6.7931878039e-03
3.0200000000e+00, 9.2055776850e-01, -7.9757427591e-04, 1.0074571770e+00, -6.7858833008e-03
3.0400000000e+00, 9.2058599481e-01, -1.4120393941e-03, 9.7603477702e-01, -6.7858833008e-03
3.0600000000e+00, 9.2035801305e-01, -1.3042004040e-03, 9.9581273731e-01, -6.8151013129e-03
3.0800000000e+00, 9.2010614749e-01, -1.5292871552e-03, 1.0064453722e+00, -6.8151013129e-03
3.1000000000e+00, 9.1960893013e-01, -1.3244654491e-03, 9.6321858349e-01, -6.8004923069e-03
3.1200000000e+00, 9.1923619805e-01, -9.3002082082e-04, 1.0053698773e+00, -6.8004923069e-03
3.1400000000e+00, 9.1880267084e-01, -5.9637132790e-04, 9.9024708742e-01, -6.8077968099e-03
3.1600000000e+00, 9.1828953095e-01, -9.4232459821e-04, 1.0002819035e+00, -6.8151013129e-03
3.1800000000e+00, 9.1783718619e-01, -9.1192703053e-04, 1.0044869004e+00, -6.8151013129e-03
3.2000000000e+00, 9.1747458663e-01, -4.4655474431e-04, 9.8996337679e-01, -6.8224058159e-03
3.2200000000e+00, 9.1676603380e-01, 1.6573911904e-04, 1.0042292448e+00, -6.8224058159e-03
3.2400000000e+00, 9.1639547298e-01, 1.9830794156e-04, 9.7340828243e-01, -6.8370148219e-03
3.2600000000e+00, 9.1598510581e-01, 4.4365973787e-04, 9.9331868926e-01, -6.8297103189e-03
3.2800000000e+00, 9.1560151746e-01, 6.1591262141e-04, 1.0038565127e+00, -6.8589283310e-03
3.3000000000e+00, 9.1538801074e-01, 1.0812849076e-03, 9.5782446273e-01, -6.8297103189e-03
3.3200000000e+00, 9.1489803089e-01, 1.4417132102e-03, 1.0036234647e+00, -6.8077968099e-03
3.3400000000e+00, 9.1444496239e-01, 1.8629366481e-03, 9.8406841991e-01, -6.8224058159e-03
3.3600000000e+00, 9.1383845854e-01, 2.4860867856e-03, 9.9689764098e-01, -6.8297103189e-03
3.3800000000e+00, 9.1336729624e-01, 2.6293896047e-03, 1.0038579602e+00, -6.8297103189e-03
3.4000000000e+00, 9.1257840698e-01, 3.1656895488e-03, 9.7534504174e-01, -6.8297103189e-03
3.4200000000e+00, 9.1206092458e-01, 3.3480749549e-03, 1.0035395095e+00, -6.8224058159e-03
3.4400000000e+00, 9.1168023123e-01, 4.2419081952e-03, 9.8128125246e-01, -6.8443193250e-03
3.4600000000e+00, 9.1111570497e-01, 4.2520407177e-03, 9.9678690698e-01, -6.8443193250e-03
3.4800000000e+00, 9.1081534805e-01, 4.7999206877e-03, 1.0040700194e+00, -6.8370148219e-03
3.5000000000e+00, 9.1054394120e-01, 5.2732542416e-03, 9.6792948273e-01, -6.8443193250e-03
3.5200000000e+00, 9.1056782500e-01, 5.8884431114e-03, 1.0044709778e+00, -6.8370148219e-03
3.5400000000e+00, 9.1048893608e-01, 5.9919395919e-03, 9.7886175082e-01, -6.8297103189e-03
3.5600000000e+00, 9.1047446104e-01, 6.1388611690e-03, 9.9581563232e-01, -6.8224058159e-03
3.5800000000e+00, 9.1055117872e-01, 6.5325820457e-03, 1.0059409174e+00, -6.8516238280e-03
3.6000000000e+00, 9.1049834485e-01, 6.8459664935e-03, 9.7242759899e-01, -6.8662328340e-03
3.6200000000e+00, 9.1064816143e-01, 7.2917974862e-03, 1.0065416312e+00, -6.8516238280e-03
3.6400000000e+00, 9.1059026130e-01, 7.3525926215e-03, 9.9114743442e-01, -6.8589283310e-03
3.6600000000e+00, 9.1061704011e-01, 7.3446313538e-03, 1.0025204672e+00, -6.8297103189e-03
3.6800000000e+00, 9.1075961918e-01, 7.4683928794e-03, 1.0074882983e+00, -6.8370148219e-03
3.7000000000e+00, 9.1092318704e-01, 7.5784031243e-03, 9.8016595122e-01, -6.8516238280e-03
3.7200000000e+00, 9.1114682629e-01, 7.6905846241e-03, 1.0080542721e+00, -6.8370148219e-03
3.7400000000e+00, 9.1139724435e-01, 7.2628474217e-03, 9.7677879368e-01, -6.8516238280e-03
3.7600000000e+00, 9.1158324851e-01, 7.6761095919e-03, 9.9731524566e-01, -6.8808418400e-03
3.7800000000e+00, 9.1207033335e-01, 7.3989127247e-03, 1.0088366476e+00, -6.9027553491e-03
3.8000000000e+00, 9.1251399309e-01, 7.2852837217e-03, 9.6703564949e-01, -6.8881463430e-03
3.8200000000e+00, 9.1304667427e-01, 7.3033775120e-03, 1.0093483400e+00, -6.8589283310e-03
3.8400000000e+00, 9.1358804048e-01, 7.0218381351e-03, 9.9502891432e-01, -6.8735373370e-03
3.8600000000e+00, 9.1424882570e-01, 6.4891569490e-03, 1.0055906216e+00, -6.8808418400e-03
3.8800000000e+00, 9.1472939677e-01, 6.4421130942e-03, 1.0104773925e+00, -6.8516238280e-03
3.9000000000e+00, 9.1528161925e-01, 6.1880762786e-03, 9.9289312331e-01, -6.8443193250e-03
3.9200000000e+00, 9.1574554403e-01, 5.9716745467e-03, 1.0107502468e+00, -6.8662328340e-03
3.9400000000e+00, 9.1621598258e-01, 5.4397171123e-03, 9.7912736766e-01, -6.8662328340e-03
3.9600000000e+00, 9.1659595218e-01, 5.1516639709e-03, 9.9964065959e-01, -6.8516238280e-03
3.9800000000e+00, 9.1693032542e-01, 4.5929277268e-03, 1.0105613477e+00, -6.8662328340e-03
4.0000000000e+00, 9.1719449476e-01, 4.1268316890e-03, 9.5979813337e-01, -6.8589283310e-03
4.0200000000e+00, 9.1751801173e-01, 3.4588089515e-03, 1.0097963422e+00, -6.8224058159e-03
4.0400000000e+00, 9.1802101910e-01, 3.7569946155e-03, 9.8989534414e-01, -6.8662328340e-03
4.0600000000e+00, 9.1845671757e-01, 3.0317955007e-03, 1.0029858395e+00, -6.8954508461e-03
4.0800000000e+00, 9.1895103992e-01, 2.4014078471e-03, 1.0099092474e+00, -6.8808418400e-03
4.1000000000e+00, 9.1925646310e-01, 2.1343435024e-03, 9.8228871470e-01, -6.8808418400e-03
4.1200000000e+00, 9.1948010235e-01, 1.4786245424e-03, 1.0094663115e+00, -6.9100598521e-03
4.1400000000e+00, 9.1975295670e-01, 9.2784956598e-04, 9.9137903494e-01, -6.8808418400e-03
4.1600000000e+00, 9.1987454698e-01, 1.0031197336e-03, 1.0038550652e+00, -6.8954508461e-03
4.1800000000e+00, 9.2011700377e-01, 3.2424072197e-04, 1.0089162602e+00, -6.8954508461e-03
4.2000000000e+00, 9.2021181523e-01, 3.5391453804e-04, 9.7936331069e-01, -6.9027553491e-03
4.2200000000e+00, 9.2011338501e-01, -2.8950064461e-06, 1.0082518563e+00, -6.8516238280e-03
4.2400000000e+00, 9.1990060203e-01, -7.3098912765e-04, 9.7639375782e-01, -6.8881463430e-03
4.2600000000e+00, 9.1978842053e-01, -3.7562708638e-04, 9.9617316561e-01, -6.9027553491e-03
4.2800000000e+00, 9.1960603513e-01, -8.3014309843e-04, 1.0070837212e+00, -6.8954508461e-03
4.3000000000e+00, 9.1929916444e-01, -1.1051687108e-03, 9.5705873352e-01, -6.8954508461e-03
4.3200000000e+00, 9.1911026527e-01, -1.1811626300e-03, 1.0058641997e+00, -6.8881463430e-03
